genre,platform,total_juegos,critic_score_nulos,critic_score_no_nulos,critic_score_pct_nulos,rating_nulos,rating_no_nulos,rating_pct_nulos,user_score_nulos,user_score_no_nulos,user_score_pct_nulos
Puzzle,X360,7,3,4,42.857142857142854,0,7,0.0,3,4,42.857142857142854
Puzzle,PS3,3,1,2,33.33333333333333,1,2,33.33333333333333,1,2,33.33333333333333
Puzzle,PS2,18,7,11,38.88888888888889,5,13,27.77777777777778,12,6,66.66666666666666
Puzzle,SNES,13,13,0,100.0,13,0,100.0,13,0,100.0
Puzzle,GBA,41,19,22,46.34146341463415,13,28,31.70731707317073,34,7,82.92682926829268
Puzzle,PS4,1,0,1,0.0,0,1,0.0,0,1,0.0
Puzzle,3DS,20,10,10,50.0,6,14,30.0,12,8,60.0
Puzzle,N64,12,12,0,100.0,12,0,100.0,12,0,100.0
Puzzle,PS,32,30,2,93.75,28,4,87.5,30,2,93.75
Puzzle,XB,7,2,5,28.57142857142857,2,5,28.57142857142857,6,1,85.71428571428571
Puzzle,PC,25,21,4,84.0,9,16,36.0,18,7,72.0
Puzzle,2600,11,11,0,100.0,11,0,100.0,11,0,100.0
Puzzle,PSP,44,18,26,40.909090909090914,17,27,38.63636363636363,33,11,75.0
Puzzle,WiiU,4,1,3,25.0,1,3,25.0,1,3,25.0
Puzzle,GC,13,3,10,23.076923076923077,3,10,23.076923076923077,7,6,53.84615384615385
Puzzle,PSV,3,2,1,66.66666666666666,1,2,33.33333333333333,2,1,66.66666666666666
Puzzle,SAT,5,5,0,100.0,5,0,100.0,5,0,100.0
Puzzle,3DO,1,1,0,100.0,1,0,100.0,1,0,100.0
Misc,Wii,280,195,85,69.64285714285714,83,197,29.642857142857142,197,83,70.35714285714286
Misc,NES,2,2,0,100.0,2,0,100.0,2,0,100.0
Misc,GB,8,8,0,100.0,8,0,100.0,8,0,100.0
Misc,DS,391,329,62,84.14322250639387,211,180,53.96419437340153,348,43,89.00255754475704
Misc,X360,127,55,72,43.30708661417323,26,101,20.47244094488189,58,69,45.66929133858268
Misc,PS3,125,75,50,60.0,50,75,40.0,78,47,62.4
Misc,PS2,222,141,81,63.51351351351351,112,110,50.45045045045045,159,63,71.62162162162163
Misc,SNES,17,17,0,100.0,17,0,100.0,17,0,100.0
Misc,GBA,110,83,27,75.45454545454545,68,42,61.81818181818181,97,13,88.18181818181819
Misc,PS4,20,11,9,55.00000000000001,9,11,45.0,11,9,55.00000000000001
Misc,3DS,54,44,10,81.48148148148148,38,16,70.37037037037037,43,11,79.62962962962963
Misc,N64,18,18,0,100.0,18,0,100.0,18,0,100.0
Misc,PS,76,70,6,92.10526315789474,70,6,92.10526315789474,72,4,94.73684210526315
Misc,XB,46,15,31,32.608695652173914,14,32,30.434782608695656,30,16,65.21739130434783
Misc,PC,24,19,5,79.16666666666666,11,13,45.83333333333333,17,7,70.83333333333334
Misc,2600,5,5,0,100.0,5,0,100.0,5,0,100.0
Misc,PSP,106,77,29,72.64150943396226,71,35,66.98113207547169,82,24,77.35849056603774
Misc,XOne,19,7,12,36.84210526315789,3,16,15.789473684210526,7,12,36.84210526315789
Misc,WiiU,22,10,12,45.45454545454545,9,13,40.909090909090914,10,12,45.45454545454545
Misc,GC,36,12,24,33.33333333333333,9,27,25.0,18,18,50.0
Misc,GEN,1,1,0,100.0,1,0,100.0,1,0,100.0
Misc,PSV,24,16,8,66.66666666666666,16,8,66.66666666666666,16,8,66.66666666666666
Misc,SAT,15,15,0,100.0,15,0,100.0,15,0,100.0
Misc,SCD,2,2,0,100.0,2,0,100.0,2,0,100.0
Shooter,Wii,65,31,34,47.69230769230769,8,57,12.307692307692308,32,33,49.23076923076923
Shooter,NES,7,7,0,100.0,7,0,100.0,7,0,100.0
